Block,Unit #,Balance,Resident,MF-2017-18,MF-2018-19,MF-2019-20,MF-2020-21,Corpus Fund,CF_On_Time,,,,
Plots,1,0,0,0,0,0,0,0,0,,,,
Plots,2,-65322,0,7700,7600,7500,0,0,0,,,,
Plots,3,-58184,0,3292,6584,0,0,0,0,,,,
Plots,4,-7384,0,7384,0,0,0,40000,Yes,,,,
Plots,7,-60178,0,8678,8678,0,0,0,0,,,,
Plots,8,-57150,0,7150,7150,7150,0,0,0,,,,
Plots,10,-57142,0,7144,7142,7144,0,30000,0,,,,
Plots,13,-50064,0,10064,10064,10064,0,30000,0,,,,
Plots,14,0,0,10064,10064,10064,0,40000,yes,,,,
Plots,15,-30000,0,7183,7183,7183,0,30000,0,,,,
Plots,17,-50000,0,8263,8263,8263,0,0,0,,,,
Plots,18,-59296,0,9796,0,0,0,0,0,,,,
Plots,19,-58458,0,8456,0,0,0,0,0,,,,
Plots,21,-66912,0,0,0,0,0,0,0,,,,
Plots,22,-50000,0,8456,8456,8456,8456,41544,Yes,,,,
Plots,23,,,8456,8456,0,0,0,0,,,,
Plots,24,-73176,yes,23176,23200,23176,0,20000,0,,,,
Plots,27,-50000,0,8456,8456,0,0,0,0,,,,
Plots,30,-50000,0,6885,6885,6885,0,0,0,,,,
Plots,31,-58036,0,8036,8036,8036,0,40000,Yes,,,,
Plots,34,-58571,0,6974,1162,0,0,0,0,,,,
Plots,35,-50000,0,10532,10532,10532,0,20000,0,,,,
Plots,37,-57582,0,5982,5982,0,0,0,0,,,,
Plots,39,-58883,0,7241,7240,0,0,0,0,,,,
Plots,40,-58361,0,6772,6772,0,0,0,0,,,,
Plots,42,,0,6848,6848,6848,0,0,0,,,,
Plots,44,-56580,0,6580,0,0,0,0,0,,,,
Plots,49,,0,0,6580,6580,0,0,0,,,,
Plots,50,,0,0,0,6580,0,0,0,,,,
Plots,54,-45000,0,6580,6580,20443,0,15000,0,,,,
Plots,59,-51580,0,6580,6580,0,0,15000,0,,,,
Plots,62,-68176,yes,23176,23176,0,0,15000,0,,,,
Plots,63,0,0,6580,6580,6580,0,40000,Yes,,,,
Plots,67,-56580,0,0,0,0,0,0,0,,,,
piots,68,,0,6580,6580,6580,0,0,0,,,,
Plots,71,-50000,0,6510,6510,6510,0,0,0,,,,
Plots,72,0,0,0,0,0,0,0,0,,,,
Plots,73,-360,0,7487,7487,7487,0,40000,Yes,,,,
Plots,74,-57232,0,5560,1390,0,0,0,0,,,,
Plots,78,-51781,0,6781,6781,6781,2000,40000,Yes,,,,
Plots,82,-56781,0,6781,6781,6781,0,0,0,,,,
Plots,83,-56781,0,6781,0,0,0,0,0,,,,
Plots,84,-56781,0,6781,0,0,0,0,0,,,,
Plots,85,-56781,0,6781,0,0,0,0,0,,,,
Plots,86,-56781,0,6781,0,0,0,0,0,,,,
Plots,88,0,0,6781,6781,0,0,0,0,,,,
Plots,89,-40000,yes,23176,23176,13021,0,40000,yes,,,,
Plots,90,-59462,0,6546,6546,0,0,0,0,,,,
Plots,92,-51781,0,6781,0,0,0,5000,0,,,,
Plots,93,-51781,0,6781,0,0,0,5000,0,,,,
Plots,94,-56781,0,6781,6781,6781,0,0,0,,,,
Plots,98,0,0,0,0,0,0,0,0,,,,
Plots,99,0,0,6781,6781,6781,0,40000,Yes,,,,
Plots,100,-56781,0,6781,0,0,0,0,0,,,,
Plots,101,-63562,0,6781,0,0,0,0,0,,,,
Plots,102,-63562,0,6781,0,0,0,0,0,,,,
Plots,116,-56781,0,6781,6781,0,0,0,0,,,,
Plots,117,,0,6781,6781,6781,0,40000,yes,,,,
Plots,120,-56781,0,6781,6781,6781,0,10000,0,,,,
Plots,121,-57582,0,5984,5984,0,0,0,0,,,,
Plots,123,-49997,0,6781,6781,6781,0,0,0,,,,
Plots,124,-56781,0,0,0,0,0,0,0,,,,
Plots,125,-56781,0,0,0,0,0,0,0,,,,
Plots,126,-6781,0,0,0,0,0,0,0,,,,
Plots,127,-56781,0,0,0,0,0,0,0,,,,
Plots,129,-56781,0,0,0,0,0,0,0,,,,
Plots,135,-63562,0,6781,0,0,0,0,0,,,,
Plots,136,-70343,0,0,0,0,0,0,0,,,,
Plots,137,-49981,0,6800,6800,5000,0,25000,0,,,,
Plots,165,-56781,0,6781,6781,6781,0,0,0,,,,
Plots,167,-56781,0,6781,6781,6781,,0,0,,,,
Plots,170,-40000,0,6781,6781,0,0,10000,0,,,,
Plots,172,-56781,0,0,0,0,0,0,0,,,,
Plots,178,-51781,0,6781,0,0,0,5000,0,,,,
Plots,180,-51781,0,6781,6781,6781,0,25000,0,,,,
Plots,181,-56781,0,0,0,0,0,0,0,,,,
Plots,182,-45000,0,6781,6781,6781,0,5000,0,,,,
Plots,184,-56781,0,0,0,0,0,0,0,,,,
Plots,185,-56781,0,6781,0,0,0,0,0,,,,
Plots,186,-56781,0,0,0,0,0,0,0,,,,
Plots,187,-56781,0,0,0,0,0,0,0,,,,
Plots,188,-40000,yes,23176,23176,23176,0,30000,0,,,,
Plots,189,0,0,7000,7000,7000,0,0,0,,,,
Plots,190,-56781,0,6781,5981,5981,0,0,0,,,,
Plots,191,-56781,0,6781,5981,5981,0,0,0,,,,
Plots,193,-56781,0,0,6781,6781,0,0,0,,,,
Plots,195,-51781,0,0,0,0,0,0,0,,,,
Plots,196,-45000,0,6781,6781,6781,6781,30000,0,,,,
Plots,198,-51781,0,6781,6781,6781,0,20000,0,,,,
Plots,199,-51781,0,6781,6781,6781,0,30000,0,,,,
Plots,202,-10000,0,6781,6781,6781,0,40000,Yes,,,,
Plots,208,-56781,0,0,0,0,0,0,0,,,,
Plots,210,0,0,6781,6000,0,0,0,0,,,,
Plots,211,0,0,6781,6000,0,0,0,0,,,,
Plots,214,-45000,0,6972,6972,6972,1000,40000,Yes,,,,
Plots,215,-46781,0,6781,6781,6781,0,40000,Yes,,,,
Plots,217,-56781,0,0,0,0,0,0,0,,,,
Plots,221,-63562,0,6781,6781,6781,0,40000,Yes,,,,
Plots,224,-46781,0,6781,0,0,0,10000,0,,,,
Plots,226,13719,yes,6781,20500,23176,0,40000,Yes,,,,
Plots,227,0,0,0,0,0,0,0,0,,,,
Plots,228,-6781,0,6781,7256,6306,0,40000,Yes,,,,
Plots,229,-56781,0,6781,6781,0,0,0,0,,,,
Plots,234,-6781,0,6781,6781,6781,0,40000,Yes,,,,
Plots,235,-56781,0,0,6781,6781,0,20000,0,,,,
Plots,239,-57463,0,5702,1901,0,0,0,0,,,,
Plots,240,-67490,0,6036,6036,0,0,0,0,,,,
Plots,241,-56781,0,6781,6781,0,0,0,0,,,,
Plots,242,-56781,0,6781,6781,0,0,0,0,,,,
Plots,244,-56781,0,0,0,0,0,0,0,,,,
Plots,252,-56781,0,0,0,6780,0,0,0,,,,
Plots,260,-40000,yes,23176,23176,23176,0,25000,0,,,,
Plots,263,-40000,yes,23176,23176,23176,0,30000,0,,,,
Plots,267,-56781,0,0,0,0,0,0,0,,,,
Plots,269,0,0,6781,6781,0,0,0,0,,,,
Plots,270,-50000,0,6781,6781,0,0,0,0,,,,
Plots,272,-50000,0,6781,6781,6781,0,0,0,,,,
Plots,273,-56781,0,6781,6781,6781,0,0,0,,,,
Plots,274,,,6781,6781,6781,0,,0,,,,
Plots,275,-56781,0,6781,6781,6781,0,40000,Yes,,,,
Plots,276,-56781,0,6781,6781,6781,0,40000,Yes,,,,
Plots,277,-56781,0,6781,0,0,0,0,0,,,,
Plots,278,-63562,0,6781,0,0,0,0,0,,,,
Plots,279,-56781,0,6781,0,0,0,0,0,,,,
Plots,280,-58176,yes,23176,13021,13021,0,40000,yes,,,,
Plots,281,0,0,6714,6714,6714,0,40000,Yes,,,,
Plots,293,-56781,0,0,0,0,0,0,0,,,,
Plots,296,0,0,6781,6781,0,0,0,0,,,,
Plots,302,-51781,0,6781,0,0,0,5000,0,,,,
Plots,303,-35000,0,6781,6781,6781,0,30000,0,,,,
Plots,304,-35000,0,6781,6781,6781,0,30000,0,,,,
Plots,306,0,0,0,0,0,0,0,0,,,,
Plots,307,0,0,6781,6781,6781,0,0,0,,,,
Plots,308,-56781,0,6781,0,0,0,0,0,,,,
Plots,309,-56781,0,6781,0,0,0,0,0,,,,
Plots,316,-56781,0,0,0,0,0,0,0,,,,
Plots,327,-56781,0,6781,0,0,0,0,0,,,,
Plots,332,3219,0,6781,6781,3219,0,40000,Yes,,,,
Plots,334,-57423,0,5826,5824,0,0,0,0,,,,
Plots,339,-56781,0,0,0,0,0,0,0,,,,
,340,,0,6781,6781,6781,0,0,0,,,,
Plots,342,0,0,6781,6781,6781,3219,40000,Yes,,,,
Plots,344,-45200,0,6781,6581,6781,0,15000,0,,,,
Plots,346,-56781,0,0,0,0,0,0,0,,,,
Plots,348,-57444,0,5882,5882,0,0,0,0,,,,
Plots,351,-56781,0,0,0,0,0,0,0,,,,
Plots,352,-56781,0,6781,6781,6781,0,40000,Yes,,,,
Plots,353,-56781,0,6781,6781,6781,0,40000,Yes,,,,
Plots,354,-56781,0,6781,6781,6781,0,40000,Yes,,,,
,357,,0,0,0,6781,6781,0,0,,,,
,358,,0,0,0,6781,6781,0,0,,,,
Plots,359,-56781,0,6781,6781,6781,0,40000,Yes,,,,
Plots,360,-56781,0,6781,6781,6781,0,40000,Yes,,,,
Plots,362,-56793,0,0,0,0,0,0,0,,,,
,374,,0,6780,6780,6780,0,0,0,,,,
Plots,375,-57494,0,0,0,0,0,0,0,,,,
Plots,378,-40000,0,7384,7384,0,0,10000,0,,,,
Plots,380,-57384,0,0,0,0,0,0,0,,,,
Plots,381,-57384,0,0,0,0,0,0,0,,,,
Plots,383,-7384,0,7384,7384,7384,0,40000,Yes,,,,
Plots,384,0,0,8992,8992,8992,0,40000,Yes,,,,
Plots,386,-57303,0,0,0,0,0,0,0,,,,
Plots,387,-57384,0,7384,7384,7384,0,40000,yes,,,,
,388,,0,7311,7311,7311,0,0,0,,,,
Plots,389,0,0,7054,7054,7054,7054,40000,Yes,,,,
Plots,390,-56635,0,0,0,0,0,0,0,,,,
Plots,392,,0,6896,6896,0,0,20000,0,,,,
Plots,393,0,0,7834,7834,7834,0,0,0,,,,
Plots,394,-57384,0,0,0,0,0,0,0,,,,
Plots,397,-7384,0,7384,7384,7384,0,40000,Yes,,,,
Plots,398,-50000,0,7384,7384,7384,0,40000,Yes,,,,
Plots,400,7384,0,7384,7384,7384,0,40000,Yes,,,,
Plots,401,0,0,7384,7384,7384,0,40000,Yes,,,,
Plots,402,-45384,yes,7384,12000,12000,0,40000,Yes,,,,
Plots,403,-57384,0,0,0,0,0,0,0,,,,
Plots,406,,0,0,0,0,0,0,0,,,,
Plots,407,-59374,0,7778,7776,0,0,0,0,,,,
Plots,408,-59796,0,0,0,0,0,0,0,,,,
Plots,409,-54796,0,9796,8996,8996,0,25000,0,,,,
Plots,410,-54796,0,9796,8996,0,0,5000,0,,,,
Plots,415,-54796,0,9796,8996,8996,0,25000,0,,,,
Plots,416,-54796,0,9796,8996,8996,0,25000,0,,,,
Plots,426,,,7384,7384,0,0,,0,,,,
Plots,427,-57384,0,7384,7384,7384,0,40000,Yes,,,,
Plots,428,-57384,0,7384,7384,7384,0,40000,Yes,,,,
Plots,429,-40000,0,7384,7384,7384,7384,30000,0,,,,
Plots,430,-45000,0,7116,7116,7116,0,30000,0,,,,
Plots,432,0,0,7384,7384,7384,0,40000,yes,,,,
,433,,0,7384,7384,7384,0,0,0,,,,
Plots,435,-52384,0,7384,7384,7384,0,20000,0,,,,
,442,,0,7384,7384,7384,0,0,0,,,,
Plots,443,0,yes,23176,23176,23176,0,40000,Yes,,,,
Plots,444,-57384,0,0,0,0,0,0,0,,,,
Plots,445,-57384,0,0,0,0,0,0,0,,,,
Plots,446,-57384,0,7384,7384,7384,0,0,0,,,,
Plots,447,-57384,0,7384,7384,7384,0,0,0,,,,
Plots,448,-57384,0,0,0,0,0,0,0,,,,
Plots,451,-57384,0,0,0,0,0,0,0,,,,
Plots,456,-42616,0,7384,7384,7384,0,15000,0,,,,
Plots,459,-45000,0,7384,7384,7384,0,30000,0,,,,
Plots,461,-35000,0,7384,7384,7384,7384,35000,0,,,,
Plots,463,-57725,0,0,0,0,0,0,0,,,,
Plots,466,-57973,0,0,0,0,0,0,0,,,,
Plots,470,-66912,0,0,0,0,0,0,0,,,,
Plots,472,-58456,0,0,0,0,0,0,0,,,,
Plots,475,-58456,0,0,0,0,0,0,0,,,,
Plots,480,-40000,0,8456,8456,8456,8456,35000,0,,,,
Plots,481,-65625,0,7813,7813,7813,7813,40000,Yes,,,,
Plots,482,-8456,0,8456,8456,8456,0,40000,Yes,,,,
Plots,484,-58150,0,8762,8672,0,0,0,0,,,,
Plots,485,-57848,0,9064,8982,0,0,0,0,,,,
Plots,486,-53456,0,8456,7656,7656,0,25000,0,,,,
Plots,487,-53456,0,8456,7656,7656,,25000,0,,,,
Plots,488,-53456,0,8456,7656,0,0,15000,0,,,,
Plots,490,-50000,0,8456,8456,0,0,0,0,,,,
Plots,491,-10000,0,8456,0,0,0,40000,Yes,,,,
Plots,493,-53456,0,8456,7656,0,0,15000,0,,,,
Plots,494,-8161,0,8161,8161,0,0,40000,Yes,,,,
Plots,496,-50000,0,10962,10962,0,0,0,0,,,,
Plots,497,-62208,0,12208,12208,12208,0,40000,Yes,,,,
Plots,498,0,0,12208,12208,12208,0,40000,Yes,,,,
Plots,499,-57208,0,12208,11408,11408,0,25000,0,,,,
Plots,500,-50000,0,9813,9813,0,0,0,0,,,,
Plots,503,0,0,12208,12208,12208,0,40000,Yes,,,,
Plots,504,-57208,0,12208,12208,12208,1000,40000,Yes,,,,
Plots,508,-62208,0,12208,0,0,0,0,0,,,,
Plots,509,-62208,0,12208,0,0,0,0,0,,,,5440
Plots,510,-12208,0,12208,0,0,0,40000,Yes,,,,
Plots,511,-57061,0,6836,6836,0,0,0,0,,,,
Plots,514,-26899,0,8101,8101,8101,0,40000,yes,,,,
Plots,515,-58669,0,7070,7070,0,0,0,0,,,,
Plots,516,23176,yes,23176,23176,23176,0,40000,Yes,,,,
Plots,517,0,0,8180,8180,0,0,0,0,,,,
Plots,519,2281,0,7720,7720,7720,0,40000,Yes,,,,
Plots,520,0,yes,23176,23176,23176,0,40000,Yes,,,,
