Site,Sl No.,Plot No.,Dimension,Area
Plots,641,694,"40' 0"" x 60' 0""",2400
Plots,642,695,"38' 9"" x 60' 0""",2325
Plots,643,696,"40' 0"" x 60' 0""",2400
Plots,644,697,"40' 0"" x 60' 0""",2400
Plots,645,698,"40' 0"" x 60' 0""",2400
Plots,646,699,"40' 0"" x 60' 0""",2400
Plots,647,700,"40' 0"" x 60' 0""",2400
Plots,648,701,"40' 0"" x 60' 0""",2400
Plots,649,702,"40' 0"" x 60' 0""",2400
Plots,650,703,"40' 0"" x 60' 0""",2400
Plots,651,704,"40' 0"" x 60' 0""",2400
Plots,652,705,"40' 0"" x 60' 0""",2400
Plots,653,706,"40' 0"" x 60' 0""",2400
Plots,654,707,"38' 9"" x 60' 0""",2325
Plots,655,708,"40' 0"" x 60' 0""",2400
Plots,656,709,"40' 0"" x 60' 0""",2400
Plots,657,710,"40' 0"" x 60' 0""",2400
Plots,658,711,"38' 9"" x 60' 0""",2325
Plots,659,712,"40' 0"" x 60' 0""",2400
Plots,660,713,"40' 0"" x 60' 0""",2400
Plots,661,714,"40' 0"" x 60' 0""",2400
Plots,662,715,"40' 0"" x 60' 0""",2400
Plots,663,716,"40' 0"" x 60' 0""",2400
Plots,664,717,"40' 0"" x 60' 0""",2400
Plots,665,718,"40' 0"" x 60' 0""",2400
Plots,666,719,"40' 0"" x 60' 0""",2400
Plots,667,721,"40' 0"" x 60' 0""",2400
Plots,668,722,"40' 0"" x 60' 0""",2400
Plots,669,723,"40' 0"" x 60' 0""",2400
Plots,670,724,"(39' 0"" + 39' 3"") / 2 x 60' 0""",2347
Plots,671,725,"40' 0"" x 60' 0""",2400
Plots,672,726,"40' 0"" x 60' 0""",2400
Plots,673,727,"(39' 6""+39'3"") / 2  x 60' 0""",2362
Plots,674,728,"40' 0"" x 60' 0""",2400
Plots,675,729,"40' 0"" x 60' 0""",2400
Plots,676,730,"40' 0"" x 60' 0""",2400
Plots,677,731,"40' 0"" x 60' 0""",2400
Plots,678,732,"40' 0"" x 60' 0""",2400
Plots,679,733,"40' 0"" x 60' 0""",2400
Plots,680,734,"40' 0"" x 60' 0""",2400
Plots,681,735,"40' 0"" x 60' 0""",2400
Plots,682,736,"40' 0"" x 60' 0""",2400
Plots,683,737,"40' 0"" x 60' 0""",2400
Plots,684,738,"40' 0"" x 60' 0""",2400
Plots,685,739,"40' 0"" x 60' 0""",2400
Plots,686,740,"(39' 9"" + 40'0"") / 2 x 60' 0""",2392
Plots,687,741,"40' 0"" x 60' 0""",2400
Plots,688,742,"40' 0"" x 60' 0""",2400
Plots,689,743,"40' 0"" x 60' 0""",2400
Plots,690,744,"40' 0"" x 60' 0""",2400
Plots,691,745,"40' 0"" x 60' 0""",2400
Plots,692,746,"40' 0"" x 60' 0""",2400
Plots,693,747,"40' 0"" x 60' 0""",2400
Plots,694,748,"40' 0"" x 60' 0""",2400
Plots,695,749,"40' 0"" x 60' 0""",2400
Plots,696,753,"40' 0"" x 60' 0""",2400
Plots,697,754,"40' 0"" x 60' 0""",2400
Plots,698,755,"40' 0"" x 60' 0""",2400
Plots,699,756,"40' 0"" x 60' 0""",2400
Plots,700,757,"40' 0"" x 60' 0""",2400
Plots,701,758,"40' 0"" x 60' 0""",2400
Plots,702,759,"40' 0"" x 60' 0""",2400
Plots,703,760,"40' 0"" x 60' 0""",2400
Plots,704,762,"(19'3""+67'3"") + 80' / 2 x (39'6""+10'3"") / 2",2071
Plots,705,763,"40' 0"" x 60' 0""",2400
Plots,706,764,"40' 0"" x 60' 0""",2400
Plots,707,765,"(54'6""+49'3"") / 2 x (70'+46') / 2",3008
Plots,708,766,"(95'3""+106') / 2 x (46'+0') / 2",2314
Plots,709,767,"(10'3""+19'9"") / 2 x (50'6""+50') / 2",754
Plots,710,768,"16'3"" x 50'",812
Plots,711,769,"30' 0"" x 50' 0""",1500
Plots,712,770,"30' 0"" x 50' 0""",1500
Plots,713,771,"30' 0"" x 50' 0""",1500
Plots,714,772,"30' 0"" x 50' 0""",1500
Plots,715,773,"30' 0"" x 50' 0""",1500
Plots,716,774,"30' 0"" x 50' 0""",1500
Plots,717,775,"30' 0"" x 50' 0""",1500
Plots,718,776,"30' 0"" x 50' 0""",1500
Plots,719,777,"30' 0"" x 50' 0""",1500
Plots,720,778,"30' 0"" x 50' 0""",1500
Plots,721,779,"30' 0"" x 50' 0""",1500
Plots,722,780,"30' 0"" x 50' 0""",1500
Plots,723,781,"30' 0"" x 50' 0""",1500
Plots,724,782,"30' 0"" x 50' 0""",1500
Plots,725,783,"30' 0"" x 50' 0""",1500
Plots,726,784,"30' 0"" x 50' 0""",1500
Plots,727,785,"(14'9""+30'0"") / 2 x (58'9""+49'6) / 2",1211
Plots,728,785 (A),"(14'9""+26'3"") / 2 x (59'6""+58'9"") / 2",1212
Plots,729,786,"40' 0"" x (60' 0""+59'6"") / 2",2390
Plots,730,787,"40' 0"" x 60' 0""",2400
Plots,731,788,"40' 0"" x 60' 0""",2400
Plots,732,789,"40' 0"" x 60' 0""",2400
Plots,733,790,"40' 0"" x 60' 0""",2400
Plots,734,791,"40' 0"" x 60' 0""",2400
Plots,735,792,"30' 0"" x 60' 0""",1800
Plots,736,793,"40' 0"" x 60' 0""",2400
Plots,737,794,"40' 0"" x 60' 0""",2400
Plots,738,795,"40' 0"" x 60' 0""",2400
Plots,739,796,"39' 0"" x 60' 0""",2340
Plots,740,797,"40' 0"" x 60' 0""",2400
Plots,741,798,"40' 0"" x 60' 0""",2400
Plots,742,799,"(111'9""+90'6"") / 2 x (60'+62'9"") / 2",6206
Plots,743,800,"(90'6""+69'3"") / 2 x (60'+63'9"") / 2 ",4942
Plots,744,801,"(68'6""+47'6"") / 2 x (60'+63'9"") / 2",3589
Plots,745,802,"(37'0""+48'0"") / 2 x (30'0""+32'0"") / 2",1317
Plots,746,802 (A),"(37'0""+0'0"") / 2 x (99'6""+106'3"") / 2",1903
Plots,747,818,"40' 0"" x 60' 0""",2400
Plots,748,819,"40' 0"" x 60' 0""",2400
Plots,749,820,"40' 0"" x 60' 0""",2400
Plots,750,821,"40' 0"" x 60' 0""",2400
Plots,751,823,"40' 0"" x 60' 0""",2400
Plots,752,824,"40' 0"" x 60' 0""",2400
Plots,753,825,"40' 0"" x 60' 0""",2400
Plots,754,826,"40' 0"" x 60' 0""",2400
Plots,755,827,"40' 0"" x 60' 0""",2400
Plots,756,828,"40' 0"" x 60' 0""",2400
Plots,757,829,"40' 0"" x 60' 0""",2400
Plots,758,830,"40' 0"" x 60' 0""",2400
Plots,759,831,"40' 0"" x 60' 0""",2400
Plots,760,832,"40' 0"" x 60' 0""",2400
Plots,761,833,"40' 0"" x 60' 0""",2400
Plots,762,834,"40' 0"" x 60' 0""",2400
Plots,763,835,"40' 0"" x 60' 0""",2400
Plots,764,836,"(60'0"" + 41'3"") / 2 x 40'+(22'6""+21'6"") / 2",2126
Plots,765,837,"(71'9+60') / 2 x (0'0""+37'9"") / 2",1243
Plots,766,837 (A),"60' x (28'6""+30'0"") / 2",1755
Plots,767,838,"40' 0"" x 60' 0""",2400
Plots,768,838 (A),"40' 0"" x 60' 0""",2400
Plots,769,839,"40' 0"" x 60' 0""",2400
Plots,770,840,"40' 0"" x 60' 0""",2400
Plots,771,841,"40' 0"" x 60' 0""",2400
Plots,772,842,"40' 0"" x 60' 0""",2400
Plots,773,843,"40' 0"" x 60' 0""",2400
Plots,774,844,"40' 0"" x 60' 0""",2400
Plots,775,845,"40' 0"" x 60' 0""",2400
Plots,776,845 (A),"40' 0"" x 60' 0""",2400
Plots,777,846,"(60'+60'6"") / 2 x (37'6""+40'0"") / 2",2335
Plots,778,846 A,"(72'3""+60'6"") / 2 x (0'0""+37'9"") / 2",1253
Plots,779,2 (B),"59'6"" x 40'0""",2380
Plots,780,5,"30'0"" x 50'0""",1500
Plots,781,5 (A),"50'0"" x 30'0""",1500
Plots,782,11,"(157'6"" + 144'6"") / 2 x (80'+81') / 2",12155
Plots,783,12,"(84'0"" + 80'9"") / 2 x (131' + 144'6"") / 2",11347
Plots,784,16 (B),"(52'6""+53'0"") / 2 x 40'0""",2110
Plots,785,16 (C),"50'6"" x 40'0""",2020
Plots,786,75 (d),"30' 0"" x 50' 0""",1500
Plots,787,126,"30' 0"" x 50' 0""",1500
Plots,788,611,"40' 0"" x 60' 0""",2400
Plots,789,720,"40' 0"" x 60' 0""",2400
Plots,790,516,"(24'9""+27'0"")/2 x (49'6""+35'0"")/2",1093
Plots,791,618,"(60'0""+40'6"") / 2 x (28'6""+26')/2",1369
Plots,792,30 (a),"(51'3""+40'0"") / 2 x (85'6""+53'0"") / 2",3159
Plots,793,384A,"42'3"" x 60'0""",2535
Plots,794,17,"(68'3""+51'6"") / 2 x (84'0""+40'0"") / 2",3712
Plots,795,30,"(48'6""+39'9"") / 2 x (53''0""+22'0"") / 2",1655
Plots,796,408,"60'0"" x 100'0""",6000
Plots,797,803,"40' 0"" x 60' 0""",2400
Plots,798,29,"50' 0"" x 80' 0""",4000
Plots,799,75,"(50'0"" + 35'3"")/2 x (43'6""+40'0"") / 2 == (58'6"" + 35'3"")/2 x (46'0"" + 39'9"") / 2",2010
Plots,800,75 (a),"30' 0"" x 50' 0""",1500
Plots,801,75 (b),"30' 0"" x 50' 0""",1500
Plots,802,141,"30' 0"" x 50' 0""",1500
Plots,803,142,"30' 0"" x 50' 0""",1500
Plots,804,143,"30' 0"" x 50' 0""",1500
Plots,805,144,"30' 0"" x 50' 0""",1500
Plots,806,145,"30' 0"" x 50' 0""",1500
Plots,807,146,"30' 0"" x 50' 0""",1500
Plots,808,147,"30' 0"" x 50' 0""",1500
Plots,809,148,"30' 0"" x 50' 0""",1500
Plots,810,149,"30' 0"" x 50' 0""",1500
Plots,811,150,"30' 0"" x 50' 0""",1500
Plots,812,151,"30' 0"" x 50' 0""",1500
Plots,813,152,"30' 0"" x 50' 0""",1500
Plots,814,153,"30' 0"" x 50' 0""",1500
Plots,815,154,"30' 0"" x 50' 0""",1500
Plots,816,155,"30' 0"" x 50' 0""",1500
Plots,817,156,"30' 0"" x 50' 0""",1500
Plots,818,157,"30' 0"" x 50' 0""",1500
Plots,819,158,"30' 0"" x 50' 0""",1500
Plots,820,159,"(54'9""+50') / 2 X (11' + 33'9"")/2",1171
Plots,821,160,"(55'6""+50') / 2 X (18'3"" + 41'0"")/2",1562
Plots,822,161,"30' 0"" x 50' 0""",1500
Plots,823,162,"30' 0"" x 50' 0""",1500
Plots,824,163,"30' 0"" x 50' 0""",1500
Plots,825,164,"30' 0"" x 50' 0""",1500
Plots,826,173,"30' 0"" x 50' 0""",1500
Plots,827,174,"30' 0"" x 50' 0""",1500
Plots,828,175,"30' 0"" x 50' 0""",1500
Plots,829,176,"30' 0"" x 50' 0""",1500
Plots,830,177,"30' 0"" x 50' 0""",1500
Plots,831,300,"( 55'0"" + 50' 0"")/2 x ( 43' 9"" + 22' 6"")/2",1739
Plots,832,404,"40' 0"" x 60' 0""",2400
Plots,833,405,"40' 0"" x 60' 0""",2400
Plots,834,409,"60' 0"" x 100' 0""",6000
Plots,835,410,"60' 0"" x 100' 0""",6000
Plots,836,411,"60' 0"" x 100' 0""",6000
Plots,837,412,"60' 0"" x 100' 0""",6000
Plots,838,413,"60' 0"" x 100' 0""",6000
Plots,839,414,"60' 0"" x 100' 0""",6000
Plots,840,415,"60' 0"" x 100' 0""",6000
Plots,841,416,"60' 0"" x 100' 0""",6000
Plots,842,417,"60' 0"" x 100' 0""",6000
Plots,843,418,"(100' 0"" + 112' 9"" )/2 x (111' 3"" + 75' 6"") /2",9464
Plots,844,425,"40' 0"" x 60' 0""",2400
Plots,845,426,"40' 0"" x 60' 0""",2400
Plots,846,427,"40' 0"" x 60' 0""",2400
Plots,847,428,"40' 0"" x 60' 0""",2400
Plots,848,431,"40'0"" x 30'0""",1200
Plots,849,439,"40' 0"" x 60' 0""",2400
Plots,850,440,"40' 0"" x 60' 0""",2400
Plots,851,441,"40' 0"" x 60' 0""",2400
Plots,852,442,"40' 0"" x 60' 0""",2400
Plots,853,452,"40' 0"" x 60' 0""",2400
Plots,854,453,"40' 0"" x 60' 0""",2400
Plots,855,454,"40' 0"" x 60' 0""",2400
Plots,856,455,"40' 0"" x 60' 0""",2400
Plots,857,480,"50' 0"" x 80' 0""",4000
Plots,858,486,"50' 0"" x 80' 0""",4000
Plots,859,487,"50' 0"" x 80' 0""",4000
Plots,860,488,"50' 0"" x 80' 0""",4000
Plots,861,491,"50' 0"" x 80' 0""",4000
Plots,862,492,"50' 0"" x 80' 0""",4000
Plots,863,493,"50' 0"" x 80' 0""",4000
Plots,864,494,"44' 6"" x 80' 0""",3560
Plots,865,499,"80' 0"" x 120' 0""",9600
Plots,866,500,"49' 10"" x 120' 11""",6025
Plots,867,512,"(88'9""+88'3"") / 2 x (59'0""+49'6"") / 2",4800
Plots,868,513,"(72'3""+71'9"") / 2  x (67'0"" + 59'0"") / 2",4535
Plots,869,538,"60' 0"" x 90' 0""",5400
Plots,870,545,"50' 0"" x 80' 0""",4000
Plots,871,629,"40' 0"" x 60' 0""",2400
Plots,872,631,"40' 0"" x 60' 0""",2400
Plots,873,686,"40' 0"" x 60' 0""",2400
Plots,874,687,"40' 0"" x 60' 0""",2400
Plots,875,688,"40' 0"" x 60' 0""",2400
Plots,876,689,"40' 0"" x 60' 0""",2400
Plots,877,750,"120'0""  x 100'0""",12000
Plots,878,751,"120'0"" x 80'0""",9600
Plots,879,752,"40' 0"" x 60' 0""",2400
Plots,880,761,"60'0"" x 40'0""",2400
Plots,881,804,"40' 0"" x 60' 0""",2400
Plots,882,805,"40' 0"" x 60' 0""",2400
Plots,883,806,"40' 0"" x 60' 0""",2400
Plots,884,807,"40' 0"" x 60' 0""",2400
Plots,885,808,"40' 0"" x 60' 0""",2400
Plots,886,809,"40' 0"" x 60' 0""",2400
Plots,887,810,"40' 0"" x 60' 0""",2400
Plots,888,811,"40' 0"" x 60' 0""",2400
Plots,889,812,"40' 0"" x 60' 0""",2400
Plots,890,813,"40' 0"" x 60' 0""",2400
Plots,891,814,"40' 0"" x 60' 0""",2400
Plots,892,815,"40' 0"" x 60' 0""",2400
Plots,893,816,"40' 0"" x 60' 0""",2400
Plots,894,817,"40' 0"" x 60' 0""",2400
Plots,895,822,"40' 0"" x 60' 0""",2400
Plots,896,1,,61602
Plots,897,6,"(83'4""+73'6"") / 2 x (37'0""+32'0"") / 2",2350
Plots,898,6 (A),"73'6"" x 45'0""",2942
Plots,899,6 (B),"73'6"" x 45'0""",2886
Plots,900,6 (C),"73'6"" x 45'0""",2824
Plots,901,6 (D),"73'6"" x 45'0""",2756
Plots,902,6 (E),"73'6"" x 45'0""",2734
Plots,903,6 (F),"73'6"" x 45'0""",2851
Plots,904,6 (G),"73'6"" x 45'0""",2830
Plots,905,6 (H),"73'6"" x 45'0""",3004
Plots,906,6 (I),"73'6"" x 45'0""",3103
Plots,907,6 (J),"73'6"" x 45'0""",2525
Plots,908,6 (K),"73'6"" x 45'0""",2925
Plots,909,6 (L),"73'6"" x 45'0""",2925
Plots,910,6 (M),"73'6"" x 45'0""",2925
Plots,911,6 (N),"73'6"" x 45'0""",2925
Plots,912,6 (O),"73'6"" x 45'0""",2925
Plots,913,6 (P),"73'6"" x 45'0""",2925
Plots,914,6 (Q),"73'6"" x 45'0""",2925
Plots,915,6 (R),"73'6"" x 45'0""",2925
Plots,916,6 (S),"(83'4""+73'6"") / 2 x (32'0""+27'0"") / 2",2313
Plots,917,165,"30' 0"" x 50' 0""",1500
Plots,918,166,"30' 0"" x 50' 0""",1500
Plots,919,167,"30' 0"" x 50' 0""",1500
Plots,920,168,"30' 0"" x 50' 0""",1500
Plots,921,169,"30' 0"" x 50' 0""",1500
Plots,922,170,"30' 0"" x 50' 0""",1500
Plots,923,171,"30' 0"" x 50' 0""",1500
Plots,924,172,"30' 0"" x 50' 0""",1500
Plots,925,407,"(65'6""+13'0"") / 2 x (113'0"" + 100'0"") / 2",4180
Plots,926,484,"50' 0"" x 80' 0""",4000
Plots,927,485,"50' 0"" x 80' 0""",4000
Plots,928,522,"(65'0""+149'9"")/2 x 90'+(109'9""+20'0"")/2",11798
Plots,929,523,"60' 0"" x 90' 0""",5400
Plots,930,524,"60' 0"" x 90' 0""",5400
Plots,931,525,"60' 0"" x 90' 0""",5400
Plots,932,526,"60' 0"" x 90' 0""",5400
Plots,933,527,"60' 0"" x 90' 0""",5400
Plots,934,528,"60' 0"" x 90' 0""",5400
Plots,935,555,"(49'6"" + 49'3"") / 2 x 80' 0""",3950
Plots,936,556,"50' 0"" x 80' 0""",4000
Plots,937,557,"50' 0"" x 80' 0""",4000
Plots,938,558,"50' 0"" x 80' 0""",4000
Plots,939,559,"50' 0"" x 80' 0""",4000
Plots,940,560,"50' 0"" x 80' 0""",4000
Plots,941,561,"50' 0"" x 80' 0""",4000
Plots,942,562,"50' 0"" x 80' 0""",4000
Plots,943,563,"50' 0"" x 80' 0""",4000
Plots,944,564,"69'9"" x 80'0""",5580
Plots,945,577,"40' 0"" x 60' 0""",2400
Plots,946,578,"40' 0"" x 60' 0""",2400
Plots,947,579,"40' 0"" x 60' 0""",2400
Plots,948,668,"40' 0"" x 60' 0""",2400
Plots,949,669,"40' 0"" x 60' 0""",2400
Plots,950,670,"40' 0"" x 60' 0""",2400
Plots,951,671,"40' 0"" x 60' 0""",2400
Plots,952,672,"40' 0"" x 60' 0""",2400
Plots,953,673,"40' 0"" x 60' 0""",2400
Plots,954,674,"40' 0"" x 60' 0""",2400
Plots,955,675,"40' 0"" x 60' 0""",2400
Plots,956,676,"(60'+67'6"")/2 x (74'3""+43'0"") / 2",3737
Plots,957,677,"(60'+67'6"")/2 x (43'0""+12'3"") / 2",1761
Plots,958,678,"40' 0"" x 60' 0""",2400
Plots,959,679,"40' 0"" x 60' 0""",2400
Plots,960,680,"40' 0"" x 60' 0""",2400
Plots,961,681,"40' 0"" x 60' 0""",2400
Plots,962,682,"40' 0"" x 60' 0""",2400
Plots,963,683,"40' 0"" x 60' 0""",2400
Plots,964,684,"40' 0"" x 60' 0""",2400
Plots,965,685,"40' 0"" x 60' 0""",2400