Site_No,Dimension,Sqr-ft
10 (A),"(52'6"" + 52'3"") / 2  x 40'0""",2095
103,"30' 0"" x 50' 0""",1500
104,"30' 0"" x 50' 0""",1500
105,"30' 0"" x 50' 0""",1500
106,"30' 0"" x 50' 0""",1500
107,"30' 0"" x 50' 0""",1500
108,"30' 0"" x 50' 0""",1500
109,"30' 0"" x 50' 0""",1500
110,"30' 0"" x 50' 0""",1500
111,"30' 0"" x 50' 0""",1500
112,"30' 0"" x 50' 0""",1500
113,"30' 0"" x 50' 0""",1500
114,"30' 0"" x 50' 0""",1500
115,"30' 0"" x 50' 0""",1500
117,"30' 0"" x 50' 0""",1500
118,"30' 0"" x 50' 0""",1500
119,"30' 0"" x 50' 0""",1500
122,"30' 0"" x 50' 0""",1500
128,"30' 0"" x 50' 0""",1500
130,"30' 0"" x 50' 0""",1500
131,"30' 0"" x 50' 0""",1500
132,"30' 0"" x 50' 0""",1500
133,"30' 0"" x 50' 0""",1500
134,"30' 0"" x 50' 0""",1500
138,"30' 0"" x 50' 0""",1500
139,"30' 0"" x 50' 0""",1500
14,"80' 0"" x 80' 0""",6400
140,"30' 0"" x 50' 0""",1500
141,"30' 0"" x 50' 0""",1500
142,"30' 0"" x 50' 0""",1500
143,"30' 0"" x 50' 0""",1500
144,"30' 0"" x 50' 0""",1500
145,"30' 0"" x 50' 0""",1500
146,"30' 0"" x 50' 0""",1500
147,"30' 0"" x 50' 0""",1500
148,"30' 0"" x 50' 0""",1500
149,"30' 0"" x 50' 0""",1500
150,"30' 0"" x 50' 0""",1500
151,"30' 0"" x 50' 0""",1500
152,"30' 0"" x 50' 0""",1500
153,"30' 0"" x 50' 0""",1500
154,"30' 0"" x 50' 0""",1500
155,"30' 0"" x 50' 0""",1500
156,"30' 0"" x 50' 0""",1500
157,"30' 0"" x 50' 0""",1500
158,"30' 0"" x 50' 0""",1500
159,"(54'9""+50') / 2 X (11' + 33'9"")/2",1171
16,"52'9"" x 40'0""",2110
16 (A),"52'9"" x 40'0""",2110
16 (B),"(52'6""+53'0"") / 2 x 40'0""",2110
16 (C),"50'6"" x 40'0""",2020
160,"(55'6""+50') / 2 X (18'3"" + 41'0"")/2",1562
161,"30' 0"" x 50' 0""",1500
162,"30' 0"" x 50' 0""",1500
163,"30' 0"" x 50' 0""",1500
164,"30' 0"" x 50' 0""",1500
166,"30' 0"" x 50' 0""",1500
168,"30' 0"" x 50' 0""",1500
169,"30' 0"" x 50' 0""",1500
171,"30' 0"" x 50' 0""",1500
173,"30' 0"" x 50' 0""",1500
174,"30' 0"" x 50' 0""",1500
175,"30' 0"" x 50' 0""",1500
176,"30' 0"" x 50' 0""",1500
177,"30' 0"" x 50' 0""",1500
179,"30' 0"" x 50' 0""",1500
17 B,"(66'0""+50'6"") / 2 x (87'3""+46'0"") / 2",3881
183,"30' 0"" x 50' 0""",1500
192,"30' 0"" x 50' 0""",1500
194,"30' 0"" x 50' 0""",1500
197,"30' 0"" x 50' 0""",1500
2 (A),"40'0"" x 60'0""",2400
20,"44' 6'' x 80' 0""",3560
200,"30' 0"" x 50' 0""",1500
201,"30' 0"" x 50' 0""",1500
203,"30' 0"" x 50' 0""",1500
204,"30' 0"" x 50' 0""",1500
205,"30' 0"" x 50' 0""",1500
206,"30' 0"" x 50' 0""",1500
207,"30' 0"" x 50' 0""",1500
209,"30' 0"" x 50' 0""",1500
210,"30' 0"" x 50' 0""",1500
211,"30' 0"" x 50' 0""",1500
212,"30' 0"" x 50' 0""",1500
213,"(54'0""+50') / 2 x (15'6""+37'3"") / 2",1371
216,"30' 0"" x 50' 0""",1500
219,"30' 0"" x 50' 0""",1500
220,"30' 0"" x 50' 0""",1500
222,"30' 0"" x 50' 0""",1500
223,"30' 0"" x 50' 0""",1500
225,"30' 0"" x 50' 0""",1500
230,"30' 0"" x 50' 0""",1500
231,"30' 0"" x 50' 0""",1500
232,"30' 0"" x 50' 0""",1500
233,"30' 0"" x 50' 0""",1500
236,"30' 0"" x 50' 0""",1500
237,"30' 0"" x 50' 0""",1500
238,"30' 0"" x 50' 0""",1500
238 (A),"30' 0"" x 50' 0""",1500
240 (A),"30' 0"" x 50' 0""",1500
243,"30' 0"" x 50' 0""",1500
245,"30' 0"" x 50' 0""",1500
246,"30' 0"" x 50' 0""",1500
247,"30' 0"" x 50' 0""",1500
248,"30' 0"" x 50' 0""",1500
249,"30' 0"" x 50' 0""",1500
25,"80'0"" x 50'0""",4000
250,"30' 0"" x 50' 0""",1500
251,"30' 0"" x 50' 0""",1500
253,"30' 0"" x 50' 0""",1500
254,"30' 0"" x 50' 0""",1500
255,"30' 0"" x 50' 0""",1500
256,"30' 0"" x 50' 0""",1500
257,"30' 0"" x 50' 0""",1500
258,"30' 0"" x 50' 0""",1500
259,"30' 0"" x 50' 0""",1500
26,"50' 0"" x 80' 0""",4000
261,"50'0"" x (34'6""+32') / 2",1662
262,"30' 0"" x 50' 0""",1500
264,"30' 0"" x 50' 0""",1500
265,"30' 0"" x 50' 0""",1500
266,"30' 0"" x 50' 0""",1500
268,"30' 0"" x 50' 0""",1500
269,"30' 0"" x 50' 0""",1500
271,"30' 0"" x 50' 0""",1500
274,"30' 0"" x 50' 0""",1500
279 (A),"30' 0"" x 50' 0""",1500
28,"50' 0"" x 80' 0""",4000
282,"30' 0"" x 50' 0""",1500
283,"30' 0"" x 50' 0""",1500
284,"30' 0"" x 50' 0""",1500
285,"30' 0"" x 50' 0""",1500
286,"30' 0"" x 50' 0""",1500
287,"30' 0"" x 50' 0""",1500
288,"30' 0"" x 50' 0""",1500
289,"30' 0"" x 50' 0""",1500
29,"50' 0"" x 80' 0""",4000
290,"30' 0"" x 50' 0""",1500
291,"30' 0"" x 50' 0""",1500
292,"30' 0"" x 50' 0""",1500
294,"30' 0"" x 50' 0""",1500
295,"30' 0"" x 50' 0""",1500
297,"30' 0"" x 50' 0""",1500
298,"30' 0"" x 50' 0""",1500
298 (A),"30' 0"" x 50' 0""",1500
298 (b),"30' 0"" x 50' 0""",1500
299,"(54' 3"" + 50' 0"")/2 x (52' 6"" + 31' 6"")/2",2189
300,"( 55'0"" + 50' 0"")/2 x ( 43' 9"" + 22' 6"")/2",1739
300 (b),"30' 0"" x 50' 0""",1500
301,"30' 0"" x 50' 0""",1500
305,"30' 0"" x 50' 0""",1500
306,"30' 0"" x 50' 0""",1500
310,"30' 0"" x 50' 0""",1500
311,"30' 0"" x 50' 0""",1500
312,"30' 0"" x 50' 0""",1500
313,"30' 0"" x 50' 0""",1500
313 (b),"30' 0"" x 50' 0""",1500
314,"(55'3"" + 50' 0"")/2 x (48' 3"" + 26' 6"")/2",1966
315,"(54'0"" + 50' 0"")/2 x (39' 3"" + 18' 3"")/2",1495
315 (A),"30' 0"" x 50' 0""",1500
315 (b),"30' 0"" x 50' 0""",1500
317,"30' 0"" x 50' 0""",1500
318,"30' 0"" x 50' 0""",1500
319,"30' 0"" x 50' 0""",1500
32,"50' 0"" x 80' 0""",4000
320,"30' 0"" x 50' 0""",1500
321,"30' 0"" x 50' 0""",1500
322,"30' 0"" x 50' 0""",1500
323,"30' 0"" x 50' 0""",1500
324,"30' 0"" x 50' 0""",1500
325,"30' 0"" x 50' 0""",1500
326,"30' 0"" x 50' 0""",1500
328,"30' 0"" x 50' 0""",1500
329,"30' 0"" x 50' 0""",1500
33,"50' 0"" x 80' 0""",4000
330,"30' 0"" x 50' 0""",1500
331,"30' 0"" x 50' 0""",1500
332 (A),"30' 0"" x 50' 0""",1500
332 (b),"30' 0"" x 50' 0""",1500
333,"( 54' 6"" + 50' 0"")/2 x (43' 6'' + 22' 6"")/2",1724
334 (A),"30' 0"" x 50' 0""",1500
334 / 1,"50'0"" x 30'0""",1500
335,"30' 0"" x 50' 0""",1500
336,"30' 0"" x 50' 0""",1500
337,"30' 0"" x 50' 0""",1500
338,"30' 0"" x 50' 0""",1500
340,"30' 0"" x 50' 0""",1500
341,"30' 0"" x 50' 0""",1500
343,"30' 0"" x 50' 0""",1500
345,"30' 0"" x 50' 0""",1500
347,"30' 0"" x 50' 0""",1500
348 (A),"(52'6""+50'0"") / 2 x (30'0""+25'9"") / 2",1429
349,"30' 0"" x 50' 0""",1500
350,"30' 0"" x 50' 0""",1500
355,"30' 0"" x 50' 0""",1500
356,"30' 0"" x 50' 0""",1500
357,"30' 0"" x 50' 0""",1500
358,"30' 0"" x 50' 0""",1500
36,"(65'0""+53'6"") / 2 x (94'6""+39'3"") / 2",3962
360 (A),"30' 0"" x 50' 0""",1500
361,"( 54' 3"" + 50' 0"")/2x (57' 6"" + 36' 3"" )/2",2443
362 (A),"30' 0"" x 40' 0""",1200
363,"30' 0"" x 40' 0""",1200
364,"30' 0"" x 40' 0""",1200
365,"30' 0"" x 40' 0""",1200
366,"30' 0"" x 40' 0""",1200
367,"30' 0"" x 40' 0""",1200
368,"30' 0"" x 40' 0""",1200
369,"30' 0"" x 40' 0""",1200
370,"30' 0"" x 40' 0""",1200
371,"30' 0"" x 40' 0""",1200
372,"30' 0"" x 40' 0""",1200
373,"30' 0"" x 40' 0""",1200
374,"30' 0"" x 40' 0""",1200
376,"40' 0"" x 60' 0""",2400
377,"40' 0"" x 60' 0""",2400
379,"40' 0"" x 60' 0""",2400
38,"(72'3"" + 67'6"")/2 x (30'0""+30'3"")/2",2105
382,"40' 0"" x 60' 0""",2400
385,"30'0"" x 59'3""",1777
385 (A),"(0' 6"" + 27' 0"")/2 x (64' 9"" + 59' 3"")/2",852
388,"(40'+40' 9"")/2 x (60' 0""+53'6"") / 2",2291
391,"(33'3""+25'9""') / 2 x (23'3""+13'0"") / 2",534
392,"(33'0"" + 30'0"") / 2 x (46'9""+ 59'6"") / 2",1673
392 (A),"40' 0"" x 60' 0""",2400
392 (b),"40' 0"" x 60' 0""",2400
395,"40' 0"" x 60' 0""",2400
396,"40' 0"" x 60' 0""",2400
399,"40' 0"" x 60' 0""",2400
404,"40' 0"" x 60' 0""",2400
405,"40' 0"" x 60' 0""",2400
406,"(42'3"" + 30'0"") / 2 "" x (60'0"" + 60'9"") / 2",2181
406A,"30'9"" x (59'6"" + 60'0"") / 2",1837
41,"(74'3""+57'3"") / 2 x (30'0""+34'6"") / 2",2120
411,"60' 0"" x 100' 0""",6000
412,"60' 0"" x 100' 0""",6000
413,"60' 0"" x 100' 0""",6000
414,"60' 0"" x 100' 0""",6000
417,"60' 0"" x 100' 0""",6000
418,"(100' 0"" + 112' 9"" )/2 x (111' 3"" + 75' 6"") /2",9464
419,"40'0"" x 40'0""",1600
42,"(57'3"" + 42'0"") / 2 x (30'0"" + 34'6"") / 2",1600
420,"80'0"" x 60'0""",4800
421,"80'0"" x 60'0""",4800
422,"80'0"" x 30'0""",2400
423,"80'0"" x 30'0""",2400
424,"40' 0"" x 60' 0""",2400
425,"40' 0"" x 60' 0""",2400
426,"40' 0"" x 60' 0""",2400
43,"29' 6"" x 40' 0""",1180
431,"40'0"" x 30'0""",1200
432,"40' 0"" x 60' 0""",2400
433,"40' 0"" x 60' 0""",2400
434,"40' 0"" x 60' 0""",2400
436,"40' 0"" x 60' 0""",2400
437,"80'0"" x 60'0""",4800
438,"80'0"" x 60'0""",4800
439,"40' 0"" x 60' 0""",2400
440,"40' 0"" x 60' 0""",2400
441,"40' 0"" x 60' 0""",2400
442,"40' 0"" x 60' 0""",2400
449,"80'0"" x 60'0""",4800
45,"30' 0"" x 40' 0""",1200
450,"80'0"" x 60'0""",4800
452,"40' 0"" x 60' 0""",2400
453,"40' 0"" x 60' 0""",2400
454,"40' 0"" x 60' 0""",2400
455,"40' 0"" x 60' 0""",2400
457,"40' 0"" x 60' 0""",2400
458,"40' 0"" x 60' 0""",2400
46,"30' 0"" x 40' 0""",1200
460,"40' 0"" x 60' 0""",2400
461 (B),"(40'6"" + 40'0"") / 2 x (65'0""+ 62'0"") / 2",2556
461 (C),"(40'6"" + 40'0"") / 2 x (68'0""+ 65'0"") / 2",2676
462,"40'0"" x (68'0""+71'0"") / 2",2780
464,"40'0"" x (78'0""+74'6"") / 2",3050
465,"40'0"" x (81'0""+78'0"") / 2",3180
467,"50' 0"" x 80' 0""",4000
468,"50' 0"" x 80' 0""",4000
469,"50' 0"" x 80' 0""",4000
47,"30' 0"" x 40' 0""",1200
471,"50' 0"" x 80' 0""",4000
473,"50' 0"" x 80' 0""",4000
474,"50' 0"" x 80' 0""",4000
476,"50' 0"" x 80' 0""",4000
477,"50' 0"" x 80' 0""",4000
478,"60' 0"" x 80' 0""",4800
479,"50' 0"" x 80' 0""",4000
48,"30' 0"" x 40' 0""",1200
483,"(53'9"" + 52'0"") / 2 x 80'",4230
489,"50' 0"" x 80' 0""",4000
49,"30' 0"" x 40' 0""",1200
492,"50' 0"" x 80' 0""",4000
495,"80' 0"" x 120' 0""",9600
5,"30'0"" x 50'0""",1500
5 (A),"50'0"" x 30'0""",1500
5 (D),"(51'0""+50'0"") / 2 x (31'0""+19'6"") / 2",1275
50,"30' 0"" x 40' 0""",1200
501,"80' 0"" x 120' 0""",9600
502 A,"80' 0"" x 40' 0""",3200
502 B,"80' 0"" x 40' 0""",3200
502 C,"80' 0"" x 40' 0""",3200
505,"80' 0"" x 120' 0""",9600
506,"80' 0"" x 120' 0""",9600
507,"80' 0"" x 120' 0""",9600
51,"30' 0"" x 40' 0""",1200
512,"(88'9""+88'3"") / 2 x (59'0""+49'6"") / 2",4800
513,"(72'3""+71'9"") / 2  x (67'0"" + 59'0"") / 2",4535
515 (A),"(40'0"" + 46'3"") / 2 x (50'0""+49'6"") / 2",2145
517,"49'6"" x 72'6""",3588
518,"40' 0"" x 72'6""",2900
52,"30' 0"" x 40' 0""",1200
53,"30' 0"" x 40' 0""",1200
533,"60' 0"" x 90' 0""",5400
534,"(60' 0"" + 58'6"") / 2  x 90' 0""",5332
535,"60' 0"" x 90' 0""",5400
536,"60' 0"" x 90' 0""",5400
537,"60' 0"" x 90' 0""",5400
538,"60' 0"" x 90' 0""",5400
541,"50' 0"" x 80' 0""",4000
544,"50' 0"" x 80' 0""",4000
546,"50' 0"" x 80' 0""",4000
547,"50' 0"" x 80' 0""",4000
55,"30' 0"" x 40' 0""",1200
550,"50' 0"" x 80' 0""",4000
551,"50' 0"" x 80' 0""",4000
552,"50' 0"" x 80' 0""",4000
56,"30' 0"" x 40' 0""",1200
566,"40' 0"" x 60' 0""",2400
568,"40' 0"" x 60' 0""",2400
57,"30' 0"" x 40' 0""",1200
570,"40' 0"" x 60' 0""",2400
574,"40' 0"" x 60' 0""",2400
576,"40' 0"" x 60' 0""",2400
578,"40' 0"" x 60' 0""",2400
58,"30' 0"" x 40' 0""",1200
580,"40' 0"" x 60' 0""",2400
581,"40' 0"" x 60' 0""",2400
583,"40' 0"" x 60' 0""",2400
584,"40' 0"" x 60' 0""",2400
585,"40' 0"" x 60' 0""",2400
586,"40' 0"" x 60' 0""",2400
587,"40' 0"" x 60' 0""",2400
588,"40' 0"" x 60' 0""",2400
590,"40' 0"" x 60' 0""",2400
592,"40' 0"" x 60' 0""",2400
593,"40' 0"" x 60' 0""",2400
594,"40' 0"" x 60' 0""",2400
595,"40' 0"" x 60' 0""",2400
6,"(83'4""+73'6"") / 2 x (37'0""+32'0"") / 2",2350
6 (A),"73'6"" x 45'0""",2942
6 (B),"73'6"" x 45'0""",2886
6 (C),"73'6"" x 45'0""",2824
6 (D),"73'6"" x 45'0""",2756
6 (E),"73'6"" x 45'0""",2734
6 (F),"73'6"" x 45'0""",2851
6 (G),"73'6"" x 45'0""",2830
6 (H),"73'6"" x 45'0""",3004
6 (I),"73'6"" x 45'0""",3103
6 (J),"73'6"" x 45'0""",2525
6 (K),"73'6"" x 45'0""",2925
6 (L),"73'6"" x 45'0""",2925
6 (M),"73'6"" x 45'0""",2925
6 (N),"73'6"" x 45'0""",2925
6 (O),"73'6"" x 45'0""",2925
6 (P),"73'6"" x 45'0""",2925
6 (Q),"73'6"" x 45'0""",2925
6 (R),"73'6"" x 45'0""",2925
6 (S),"(83'4""+73'6"") / 2 x (32'0""+27'0"") / 2",2313
60,"30' 0"" x 40' 0""",1200
600,"(51'3""+34') / 2 x (28'9""+22'9"") / 2",1098
601,"(60'0""+51'3"") / 2 x 40'+(32'0"" +11'0"") / 2",2308
602,"40' 0"" x 60' 0""",2400
603,"40' 0"" x 60' 0""",2400
606,"40' 0"" x 60' 0""",2400
607,"40' 0"" x 60' 0""",2400
608,"40' 0"" x 60' 0""",2400
609,"40' 0"" x 60' 0""",2400
61,"30' 0"" x 40' 0""",1200
610,"40' 0"" x 60' 0""",2400
615,"40' 0"" x 60' 0""",2400
620,"(57'6""+60'0') / 2 x (40'0"" + 41'0"") / 2",2379
623,"40' 0"" x 60' 0""",2400
625,"40' 0"" x 60' 0""",2400
628,"40' 0"" x 60' 0""",2400
629,"40' 0"" x 60' 0""",2400
631,"40' 0"" x 60' 0""",2400
635,"40' 0"" x 60' 0""",2400
636,"40' 0"" x 60' 0""",2400
637,"40' 0"" x 60' 0""",2400
639,"(60'0"" + 67""6"") / 2 x (71'0""+40'6"") / 2",3554
64,"30' 0"" x 40' 0""",1200
641,"40' 0"" x 60' 0""",2400
642,"40' 0"" x 60' 0""",2400
643,"40' 0"" x 60' 0""",2400
646,"40' 0"" x 60' 0""",2400
647,"40' 0"" x 60' 0""",2400
65,"30' 0"" x 40' 0""",1200
650,"40' 0"" x 60' 0""",2400
653,"40' 0"" x 60' 0""",2400
654,"40' 0"" x 60' 0""",2400
655,"40' 0"" x 60' 0""",2400
656,"40' 0"" x 60' 0""",2400
66,"30' 0"" x 40' 0""",1200
660,"40' 0"" x 60' 0""",2400
662,"40' 0"" x 60' 0""",2400
664,"40' 0"" x 60' 0""",2400
667,"40' 0"" x 60' 0""",2400
671,"40' 0"" x 60' 0""",2400
679,"40' 0"" x 60' 0""",2400
68,"30' 0"" x 40' 0""",1200
680,"40' 0"" x 60' 0""",2400
682,"40' 0"" x 60' 0""",2400
683,"40' 0"" x 60' 0""",2400
69,"30' 0"" x 40' 0""",1200
690,"40' 0"" x 60' 0""",2400
691,"40' 0"" x 60' 0""",2400
692,"38' 9"" x 60' 0""",2325
693,"40' 0"" x 60' 0""",2400
694,"40' 0"" x 60' 0""",2400
696,"40' 0"" x 60' 0""",2400
698,"40' 0"" x 60' 0""",2400
70,"30' 0"" x 40' 0""",1200
701,"40' 0"" x 60' 0""",2400
703,"40' 0"" x 60' 0""",2400
706,"40' 0"" x 60' 0""",2400
709,"40' 0"" x 60' 0""",2400
712,"40' 0"" x 60' 0""",2400
713,"40' 0"" x 60' 0""",2400
714,"40' 0"" x 60' 0""",2400
715,"40' 0"" x 60' 0""",2400
717,"40' 0"" x 60' 0""",2400
718,"40' 0"" x 60' 0""",2400
72 (A),"36'3"" x 41'6""",1504
72 (B),"(41'6"" + 41'3"") / 2 x 36'3""",1500
726,"40' 0"" x 60' 0""",2400
728,"40' 0"" x 60' 0""",2400
729,"40' 0"" x 60' 0""",2400
73 (A),"(99'6"" + 77'3"") / 2 x (40'+45'6""') / 2",3778
73 (B),"(77'3"" + 54'6"") / 2 x (40'+46') / 2",2832
73 (C.),"(54'6"" + 31') / 2 x (40'+46') / 2",1838
731,"40' 0"" x 60' 0""",2400
733,"40' 0"" x 60' 0""",2400
734,"40' 0"" x 60' 0""",2400
736,"40' 0"" x 60' 0""",2400
737,"40' 0"" x 60' 0""",2400
738,"40' 0"" x 60' 0""",2400
740,"(39' 9"" + 40'0"") / 2 x 60' 0""",2392
741,"40' 0"" x 60' 0""",2400
742,"40' 0"" x 60' 0""",2400
743,"40' 0"" x 60' 0""",2400
744,"40' 0"" x 60' 0""",2400
746,"40' 0"" x 60' 0""",2400
75,"(50'0"" + 35'3"")/2 x (43'6""+40'0"") / 2 == (58'6"" + 35'3"")/2 x (46'0"" + 39'9"") / 2",2010
75 (a),"30' 0"" x 50' 0""",1500
75 (b),"30' 0"" x 50' 0""",1500
752,"40' 0"" x 60' 0""",2400
753,"40' 0"" x 60' 0""",2400
758,"40' 0"" x 60' 0""",2400
76,"30' 0"" x 50' 0""",1500
760,"40' 0"" x 60' 0""",2400
763,"40' 0"" x 60' 0""",2400
764,"40' 0"" x 60' 0""",2400
767,"(10'3""+19'9"") / 2 x (50'6""+50') / 2",754
768,"16'3"" x 50'",812
769,"30' 0"" x 50' 0""",1500
77,"30' 0"" x 50' 0""",1500
770,"30' 0"" x 50' 0""",1500
771,"30' 0"" x 50' 0""",1500
774,"30' 0"" x 50' 0""",1500
775,"30' 0"" x 50' 0""",1500
779,"30' 0"" x 50' 0""",1500
780,"30' 0"" x 50' 0""",1500
782,"30' 0"" x 50' 0""",1500
784,"30' 0"" x 50' 0""",1500
787,"40' 0"" x 60' 0""",2400
789,"40' 0"" x 60' 0""",2400
79,"30' 0"" x 50' 0""",1500
790,"40' 0"" x 60' 0""",2400
792,"30' 0"" x 60' 0""",1800
793,"40' 0"" x 60' 0""",2400
794,"40' 0"" x 60' 0""",2400
796,"39' 0"" x 60' 0""",2340
798,"40' 0"" x 60' 0""",2400
80,"30' 0"" x 50' 0""",1500
803,"40' 0"" x 60' 0""",2400
804,"40' 0"" x 60' 0""",2400
805,"40' 0"" x 60' 0""",2400
806,"40' 0"" x 60' 0""",2400
807,"40' 0"" x 60' 0""",2400
808,"40' 0"" x 60' 0""",2400
809,"40' 0"" x 60' 0""",2400
81,"30' 0"" x 50' 0""",1500
810,"40' 0"" x 60' 0""",2400
811,"40' 0"" x 60' 0""",2400
812,"40' 0"" x 60' 0""",2400
813,"40' 0"" x 60' 0""",2400
814,"40' 0"" x 60' 0""",2400
815,"40' 0"" x 60' 0""",2400
816,"40' 0"" x 60' 0""",2400
817,"40' 0"" x 60' 0""",2400
818,"40' 0"" x 60' 0""",2400
819,"40' 0"" x 60' 0""",2400
82,"30' 0"" x 50' 0""",1500
822,"40' 0"" x 60' 0""",2400
823,"40' 0"" x 60' 0""",2400
826,"40' 0"" x 60' 0""",2400
827,"40' 0"" x 60' 0""",2400
828,"40' 0"" x 60' 0""",2400
830,"40' 0"" x 60' 0""",2400
838 (A),"40' 0"" x 60' 0""",2400
841,"40' 0"" x 60' 0""",2400
845 (A),"40' 0"" x 60' 0""",2400
87,"30' 0"" x 50' 0""",1500
88 (B),"30' 0"" x 50' 0""",1500
88 (C.),"30' 0"" x 50' 0""",1500
9 (B),"52'6"" x 40'0""",2100
9 (C),"52'6"" x 40'0""",2100
90 (C.),"30' 0"" x 50' 0""",1500
90/1,"50'0"" x 30'0""",1500
91,"30' 0"" x 50' 0""",1500
95,"30' 0"" x 50' 0""",1500
96,"30' 0"" x 50' 0""",1500
97,"30' 0"" x 50' 0""",1500
